family,subfamily,n_formulas,n_combos
Petrochemicals & Derivatives,EO derivatives,1,4
Petrochemicals & Derivatives,Mining reagents,1,1
Petrochemicals & Derivatives,Organic peroxides,2,4
Petrochemicals & Derivatives,Paper sizing agents,1,1
Petrochemicals & Derivatives,Petrochemical building blocks,41,129
Petrochemicals & Derivatives,Plasticisers,1,3
Phosphorus Chemicals,Mining reagents,2,5
Phosphorus Chemicals,Organophosphorus flame retardants,1,3
Phosphorus Chemicals,Phosphonate scale inhibitors,2,6
Phosphorus Chemicals,Phosphonium biocides,1,3
Pigments & Colorants,Iron oxide pigments,3,11
Pigments & Colorants,Organic pigments,1,3
Pigments & Colorants,Titanium dioxide,2,7
Pigments & Colorants,Zinc-based and carbon black,2,9
Plastics & Resins,Demulsifiers and block copolymers,1,3
Plastics & Resins,Engineering thermoplastics,4,10
Plastics & Resins,Flow improvers,1,1
Plastics & Resins,High performance polymers,2,4
Plastics & Resins,Polycarboxylate resins,2,6
Plastics & Resins,Polyester resins,1,4
Plastics & Resins,Polymer additives,3,3
Plastics & Resins,Polyolefins,5,24
Plastics & Resins,Thermoset resins,4,16
Plastics & Resins,Thermoset specialty polymers,1,2
Plastics & Resins,Vinyl acetate-based polymers,1,1
Plastics & Resins,Vinyls and styrenics,5,20
Polyurethanes,Isocyanates,3,14
Silicones,Silicone emulsions,2,5
Silicones,Silicone fluids,2,8
Silicones,Silicone sealants and specialties,3,9
Solvents,Aromatic solvents,2,8
Solvents,Bio-based solvents,1,1
Solvents,Mining reagents,1,3
Solvents,Oxygenated alcohol/ketone,12,34
Solvents,Polar aprotic solvents,2,4
Solvents,Terpene-derived aroma chemicals,1,1
Surfactants,Amphoteric surfactants,1,4
Surfactants,Anionic LABS chain,4,24
Surfactants,Anionic SLS/SLES chain,4,21
Surfactants,Anionic specialty,2,7
Surfactants,Anionic wetting agents,1,3
Surfactants,Cationic amines & quaternaries,5,15
Surfactants,Emulsion polymerisation aids,1,1
Surfactants,Metal treatment additives,1,1
Surfactants,Metalworking fluid additives,1,1
Surfactants,Mining reagents,1,1
Surfactants,Non-ionic emulsifiers,1,1
Surfactants,Non-ionic ester & glucoside,5,16
Surfactants,Non-ionic ethoxylates,3,6
Water-Soluble Polymers,Associative thickeners,1,2
Water-Soluble Polymers,Cationic conditioning polymers,3,8
Water-Soluble Polymers,Cellulose ethers,2,4
Water-Soluble Polymers,Mining reagents,2,2
Water-Soluble Polymers,Polyacrylate thickeners,1,3
Water-Soluble Polymers,Superabsorbent polymers,2,6
Water-Soluble Polymers,Synthetic flocculants PAM,8,41
Water-Soluble Polymers,Synthetic water-soluble,1,3
