formula_id,name,full_name,family,subfamily,record_shape,n_combos,regions,forms,margin_pct_min,margin_pct_max,cas_number,has_synthesis_route,functionality_tags
SUR-AES-3EO,SLES 3EO paste 70%,,Surfactants,Anionic SLS/SLES chain,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,9.0,9.0,68891-38-3,True,Surfactancy / primary cleaning
SUR-SLS-PST,SLS paste 30%,,Surfactants,Anionic SLS/SLES chain,combo,5,"APAC,CN,EU,IN,NA",Liquid,9.0,9.0,151-21-3,True,Surfactancy / primary cleaning
SUR-SLS-PWD,SLS powder/needle 93%,,Surfactants,Anionic SLS/SLES chain,combo,4,"APAC,CN,EU,NA",Powder,10.0,10.0,151-21-3,True,Surfactancy / primary cleaning
SUR-FAM-C12,Fatty amines C12-C14,,Surfactants,Cationic amines & quaternaries,combo,3,"APAC,EU,IN",Liquid,13.0,13.0,,True,Conditioning & softening
SUR-FAM-C18,Fatty amines C16-C18,,Surfactants,Cationic amines & quaternaries,combo,2,"APAC,EU",Liquid,13.0,13.0,,True,Conditioning & softening
SUR-APG-LIQ,APG 50% liquid alkyl polyglucoside,,Surfactants,Non-ionic ester & glucoside,combo,4,"APAC,CN,EU,NA",Liquid,15.0,15.0,110615-47-9,True,Emulsification
F19-IMID-LIQ,Imidazoline corrosion inhibitor,,Surfactants,Cationic amines & quaternaries,combo,3,"EU,MEA,NA",Liquid,22.0,22.0,,True,Scale & corrosion inhibition
SUR-SULF-LIQ,Sulfosuccinate DLSS specialty anionic,,Surfactants,Anionic wetting agents,combo,3,"CN,EU,NA",Liquid,20.0,20.0,577-11-7,True,Wetting & spreading
RES-PA6-PEL,Nylon 6 PA6 pellets,,Plastics & Resins,Engineering thermoplastics,combo,4,"APAC,CN,EU,NA",Pellets,11.0,11.0,25038-54-4,True,Engineering plastics
RES-PC-PEL,Polycarbonate general purpose pellets,,Plastics & Resins,Engineering thermoplastics,combo,4,"APAC,CN,EU,NA",Pellets,12.0,12.0,25037-45-0,True,Engineering plastics
F20-PCE-LIQ,PCE superplasticiser 40% liquid,,Plastics & Resins,Polycarboxylate resins,combo,4,"CN,EU,IN,NA",Liquid,14.0,14.0,,True,Cement & construction dispersion
F20-PCE-PWD,PCE superplasticiser powder spray-dried,,Plastics & Resins,Polycarboxylate resins,combo,2,"CN,IN",Powder,13.0,13.0,,True,Cement & construction dispersion
RES-HDPE-PEL,Polyethylene HDPE pellets,,Plastics & Resins,Polyolefins,combo,6,"APAC,CN,EU,IN,MEA,NA",Pellets,10.0,10.0,9002-88-4,True,Commodity thermoplastics
RES-LDPE-PEL,Polyethylene LDPE pellets,,Plastics & Resins,Polyolefins,combo,4,"APAC,CN,EU,NA",Pellets,10.0,10.0,9002-88-4,True,Commodity thermoplastics
RES-PP-PEL,Polypropylene pellets,,Plastics & Resins,Polyolefins,combo,6,"APAC,CN,EU,IN,MEA,NA",Pellets,10.0,10.0,9003-07-0,True,Commodity thermoplastics
RES-ACR-LIQ,Acrylic resin waterborne 50%,,Plastics & Resins,Thermoset resins,combo,4,"APAC,CN,EU,NA",Liquid,13.0,13.0,,True,Crosslinking & curing
RES-ALK-LIQ,Alkyd resin long oil 70%,,Plastics & Resins,Thermoset resins,combo,3,"CN,EU,NA",Liquid,10.0,10.0,,True,Crosslinking & curing
RES-EPX-LIQ,Epoxy resin liquid BPA EEW 182-192,,Plastics & Resins,Thermoset resins,combo,5,"APAC,CN,EU,IN,NA",Liquid,13.0,13.0,,True,Crosslinking & curing
RES-EPX-SOL,Epoxy resin solid BPA EEW 450-550,,Plastics & Resins,Thermoset resins,combo,4,"APAC,CN,EU,NA",Solid,12.0,12.0,,True,Crosslinking & curing
RES-PET-BOT,PET bottle grade pellets,,Plastics & Resins,Vinyls and styrenics,combo,4,"APAC,CN,EU,NA",Pellets,9.0,9.0,25038-59-9,True,Commodity thermoplastics
RES-PET-FIB,PET fibre grade pellets,,Plastics & Resins,Vinyls and styrenics,combo,3,"APAC,CN,NA",Pellets,7.0,7.0,25038-59-9,True,Commodity thermoplastics
RES-PS-PEL,Polystyrene GPPS/HIPS pellets,,Plastics & Resins,Vinyls and styrenics,combo,4,"APAC,CN,EU,NA",Pellets,10.0,10.0,9003-53-6,True,Commodity thermoplastics
RES-PVC-PWD,PVC suspension grade powder,,Plastics & Resins,Vinyls and styrenics,combo,5,"APAC,CN,EU,IN,NA",Powder,10.0,10.0,9002-86-2,True,Commodity thermoplastics
ELA-BR-BAL,BR polybutadiene bale,,Elastomers,Diene-based commodity,combo,4,"APAC,CN,EU,NA",Bale,9.0,9.0,9003-17-2,True,Commodity thermoplastics
ELA-SBR-BAL,SBR 1502 solid bale,,Elastomers,Diene-based commodity,combo,4,"APAC,CN,EU,NA",Bale,9.0,9.0,9003-55-8,True,Commodity thermoplastics
ELA-NBR-BAL,NBR bale 33-36% ACN,,Elastomers,Diene-based specialty,combo,4,"APAC,CN,EU,NA",Bale,11.0,11.0,9003-18-3,True,Engineering plastics
F20-SBR-LATEX,SBR latex construction grade,,Elastomers,Latex dispersions,combo,3,"CN,EU,NA",Liquid,13.0,13.0,,True,Film formation & binding
ELA-EPDM-BAL,EPDM bale standard,,Elastomers,Polyolefin-based,combo,4,"APAC,CN,EU,NA",Bale,11.0,11.0,25038-36-2,True,Commodity thermoplastics
ELA-NEO-CHI,Neoprene CR chip/bale,,Elastomers,Specialty rubbers,combo,3,"APAC,CN,EU",Bale/chip,13.0,13.0,9010-98-4,True,Engineering plastics
SOL-TOL-LIQ,Toluene industrial 99%,,Solvents,Aromatic solvents,combo,4,"APAC,CN,EU,NA",Liquid,10.0,10.0,108-88-3,True,Solvent & carrier
SOL-XYL-LIQ,Xylene mixed 99%,,Solvents,Aromatic solvents,combo,4,"APAC,CN,EU,NA",Liquid,11.0,11.0,1330-20-7,True,Solvent & carrier
CLN-ETOH-IPC,Ethanol 96% IPC denatured,,Solvents,Oxygenated alcohol/ketone,combo,3,"EU,LA,NA",Liquid,11.0,11.0,64-17-5,True,Solvent & carrier
SOL-ACE-LIQ,Acetone 99%,,Solvents,Oxygenated alcohol/ketone,combo,4,"APAC,CN,EU,NA",Liquid,10.0,10.0,67-64-1,True,Solvent & carrier
SOL-ETOH-IND,Ethanol 96% industrial,,Solvents,Oxygenated alcohol/ketone,combo,3,"EU,LA,NA",Liquid,11.0,11.0,64-17-5,True,Solvent & carrier
SOL-IPA-LIQ,Isopropanol IPA 99%,,Solvents,Oxygenated alcohol/ketone,combo,5,"APAC,CN,EU,IN,NA",Liquid,13.0,13.0,67-63-0,True,Solvent & carrier
SOL-MEK-LIQ,MEK 99%,,Solvents,Oxygenated alcohol/ketone,combo,3,"CN,EU,NA",Liquid,12.0,12.0,78-93-3,True,Solvent & carrier
F17-PQ7-LIQ,Polyquaternium-7 PQ-7 liquid conditioning polymer,,Water-Soluble Polymers,Cationic conditioning polymers,combo,3,"CN,EU,NA",Liquid,15.0,15.0,26590-05-6,True,Conditioning & softening
F19-DEMUL-OIL,Demulsifier EO/PO block copolymer oil-soluble,,Plastics & Resins,Demulsifiers and block copolymers,combo,3,"EU,MEA,NA",Liquid,20.0,20.0,,True,Emulsification
SPO-PA12-PEL,Polyamide 12 PA12 pellets,,Plastics & Resins,Engineering thermoplastics,combo,1,EU,Pellets,16.0,16.0,24937-16-4,True,Engineering plastics
SPO-MDI-POL,MDI polymeric PMDI,,Polyurethanes,Isocyanates,combo,5,"APAC,CN,EU,MEA,NA",Liquid,13.0,13.0,,True,Foam & insulation
SPO-MDI-PUR,MDI pure monomeric,,Polyurethanes,Isocyanates,combo,5,"APAC,CN,EU,MEA,NA",Liquid,15.0,15.0,101-68-8,True,"Foam & insulation,Crosslinking & curing"
SPO-TDI-LIQ,TDI 80/20,,Polyurethanes,Isocyanates,combo,4,"APAC,CN,EU,NA",Liquid,14.0,14.0,26471-62-5,True,Foam & insulation
F17-MF-CAPS,Melamine-formaldehyde microcapsules slurry,,Plastics & Resins,Thermoset specialty polymers,combo,2,"CN,EU",Slurry,20.0,20.0,,True,Fragrance & flavour
SPO-PEEK-PEL,PEEK polyetheretherketone pellets,,Plastics & Resins,High performance polymers,combo,2,"EU,NA",Pellets,28.0,28.0,29658-26-2,True,High performance polymers
SPO-PVDF-PEL,PVDF pellets,,Plastics & Resins,High performance polymers,combo,2,"CN,EU",Pellets,22.0,22.0,24937-79-9,True,High performance polymers
AGR-AN-GRN,Ammonium nitrate granular,,Fertilizers,Bulk fertilisers,combo,5,"CN,EU,IN,MEA,NA",Granular,9.0,9.0,6484-52-2,True,Animal feed supplementation
AGR-DAP-GRN,DAP diammonium phosphate granular,,Fertilizers,Bulk fertilisers,combo,4,"EU,LA,MEA,NA",Granular,8.0,8.0,7783-28-0,True,Animal feed supplementation
AGR-MOP-GRN,MOP muriate of potash granular,,Fertilizers,Bulk fertilisers,combo,7,"APAC,CN,EU,IN,LA,MEA,NA",Granular,9.0,9.0,7447-40-7,True,Animal feed supplementation
AGR-NH3-LIQ,Ammonia anhydrous agricultural,,Fertilizers,Bulk fertilisers,combo,6,"CN,EU,IN,LA,MEA,NA",Liquid,9.0,9.0,7664-41-7,True,Animal feed supplementation
AGR-UREA-GRN,Urea granular/prilled,,Fertilizers,Bulk fertilisers,combo,7,"APAC,CN,EU,IN,LA,MEA,NA",Granular,10.0,10.0,57-13-6,True,Animal feed supplementation
PFC-AOX-PWD,Antioxidant hindered phenol powder,,Petrochemicals & Derivatives,Antioxidants & stabilisers,combo,3,"CN,EU,NA",Powder,13.0,13.0,,True,Antioxidant stabilisation
PFC-BPO-PWD,Dibenzoyl peroxide BPO powder,,Petrochemicals & Derivatives,Organic peroxides,combo,2,"CN,EU",Powder,20.0,20.0,94-36-0,True,Crosslinking & curing
PFC-DTBP-LIQ,Di-tert-butyl peroxide DTBP liquid,,Petrochemicals & Derivatives,Organic peroxides,combo,2,"EU,NA",Liquid,18.0,18.0,110-05-4,True,Crosslinking & curing
PFC-H2O2-35,H2O2 35% industrial,,Inorganic Chemicals,Hydrogen peroxide,combo,5,"APAC,CN,EU,IN,NA",Liquid,12.0,12.0,7722-84-1,True,"Bleaching,Advanced oxidation,Disinfection"
PFC-H2O2-50,H2O2 50% industrial,,Inorganic Chemicals,Hydrogen peroxide,combo,3,"CN,EU,NA",Liquid,12.0,12.0,7722-84-1,True,"Bleaching,Advanced oxidation"
PFC-H2O2-EG,H2O2 31% electronic grade UHP,,Inorganic Chemicals,Hydrogen peroxide,combo,3,"CN,EU,NA",Liquid,22.0,22.0,7722-84-1,True,Base chemical / feedstock
PFC-DINP-LIQ,DINP diisononyl phthalate,,Petrochemicals & Derivatives,Plasticisers,combo,3,"CN,EU,NA",Liquid,11.0,11.0,28553-12-0,True,Plasticisation
F21-AVOB-PWD,Avobenzone UV filter powder,,Fine Chemicals & Actives,UV absorbers,combo,2,"CN,EU",Powder,24.0,24.0,70356-09-1,True,UV protection
PIG-FEO-BLK,Iron oxide black Fe3O4,,Pigments & Colorants,Iron oxide pigments,combo,3,"CN,EU,NA",Powder,11.0,11.0,1317-61-9,True,Pigmentation & opacity
PIG-FEO-RED,Iron oxide red Fe2O3,,Pigments & Colorants,Iron oxide pigments,combo,5,"APAC,CN,EU,IN,NA",Powder,11.0,11.0,1309-37-1,True,Pigmentation & opacity
PIG-FEO-YEL,Iron oxide yellow FeOOH,,Pigments & Colorants,Iron oxide pigments,combo,3,"CN,EU,NA",Powder,13.0,13.0,51274-00-1,True,Pigmentation & opacity
PIG-PC-BLU,Phthalocyanine blue PB15,,Pigments & Colorants,Organic pigments,combo,3,"CN,EU,NA",Powder,16.0,16.0,147-14-8,True,Pigmentation & opacity
PIG-TIO2-CHL,TiO2 chloride process premium rutile,,Pigments & Colorants,Titanium dioxide,combo,2,"EU,NA",Powder,15.0,15.0,,True,Pigmentation & opacity
PIG-TIO2-SUL,TiO2 sulfate process rutile,,Pigments & Colorants,Titanium dioxide,combo,5,"APAC,CN,EU,IN,NA",Powder,13.0,13.0,,True,Pigmentation & opacity
PIG-CB-PEL,Carbon black N-series furnace grade,,Pigments & Colorants,Zinc-based and carbon black,combo,4,"APAC,CN,EU,NA",Pellets,11.0,11.0,1333-86-4,True,Pigmentation & opacity
PIG-ZNO-PWD,Zinc oxide powder rubber activator,,Pigments & Colorants,Zinc-based and carbon black,combo,5,"APAC,CN,EU,IN,NA",Powder,12.0,12.0,1314-13-2,True,Pigmentation & opacity
BCI-NA2CO3-PWD,Soda ash dense/light,,Inorganic Chemicals,Alkalis,combo,4,"APAC,CN,EU,NA",Powder,10.0,10.0,497-19-8,True,pH adjustment
BCI-NAOH-FLK,Caustic soda flake/pearl 98%,,Inorganic Chemicals,Alkalis,combo,4,"APAC,CN,EU,NA",Flake/pearl,13.0,13.0,,True,pH adjustment
BCI-NAOH-SOL,Caustic soda 50% solution,,Inorganic Chemicals,Alkalis,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,12.0,12.0,1310-73-2,True,pH adjustment
BCI-ALUM-GRN,Alum granular anhydrous,,Inorganic Chemicals,Coagulants aluminium,combo,5,"APAC,CN,EU,IN,NA",Granular,11.0,11.0,,True,Coagulation
BCI-ALUM-LIQ,Alum liquid Al2(SO4)3 9%,,Inorganic Chemicals,Coagulants aluminium,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,11.0,11.0,10043-01-3,True,Coagulation
BCI-PAC-10,PAC 10% Al2O3 liquid,,Inorganic Chemicals,Coagulants aluminium,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,13.0,13.0,1327-41-9,True,Coagulation
BCI-PAC-18,PAC 18% Al2O3 high basicity,,Inorganic Chemicals,Coagulants aluminium,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,14.0,14.0,1327-41-9,True,Coagulation
BCI-FE2SO4-GRN,Ferric sulfate granular anhydrous,,Inorganic Chemicals,Coagulants iron,combo,5,"APAC,CN,EU,IN,NA",Granular,10.0,10.0,,True,Coagulation
BCI-FE2SO4-LIQ,Ferric sulfate liquid 41%,,Inorganic Chemicals,Coagulants iron,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,11.0,11.0,10028-22-5,True,Coagulation
BCI-FECL3-ANH,Ferric chloride anhydrous solid,,Inorganic Chemicals,Coagulants iron,combo,3,"CN,EU,NA",Solid,12.0,12.0,7705-08-0,True,Coagulation
BCI-FECL3-LIQ,Ferric chloride liquid FeCl3 40%,,Inorganic Chemicals,Coagulants iron,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,13.0,13.0,7705-08-0,True,Coagulation
BCI-FESO4-HEP,Ferrous sulfate heptahydrate,,Inorganic Chemicals,Coagulants iron,combo,5,"APAC,CN,EU,IN,NA",Crystal,9.0,9.0,7782-63-0,True,Coagulation
BCI-FESO4-MON,Ferrous sulfate monohydrate,,Inorganic Chemicals,Coagulants iron,combo,3,"CN,EU,IN",Powder,9.0,9.0,,True,Coagulation
BCI-HCL-EG,Hydrochloric acid electronic grade UHP,,Inorganic Chemicals,Electronic & high-purity chemicals,combo,3,"CN,EU,NA",Liquid,18.0,18.0,7647-01-0,True,Base chemical / feedstock
FOD-GLC-SYR,Glucose syrup dextrose liquid,,Fermentation & Bioprocessing,Starch & glucose derivatives,combo,3,"CN,EU,NA",Liquid,9.0,9.0,50-99-7,True,Base chemical / feedstock
FOD-LACT-LIQ,Lactic acid 80% food grade,,Fermentation & Bioprocessing,Starch & glucose derivatives,combo,2,"CN,EU",Liquid,14.0,14.0,50-21-5,True,Base chemical / feedstock
BCI-H2SO4-LIQ,Sulfuric acid 98%,,Inorganic Chemicals,Inorganic acids,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,10.0,10.0,7664-93-9,True,pH adjustment
BCI-H3PO4-LIQ,Phosphoric acid H3PO4 85%,,Inorganic Chemicals,Inorganic acids,combo,3,"CN,EU,NA",Liquid,11.0,11.0,7664-38-2,True,pH adjustment
BCI-HCL-LIQ,Hydrochloric acid 33%,,Inorganic Chemicals,Inorganic acids,combo,5,"APAC,CN,EU,IN,NA",Liquid,10.0,10.0,7647-01-0,True,pH adjustment
CLN-NAOCL-LIQ,Sodium hypochlorite 12-15%,,Inorganic Chemicals,Inorganic oxidants,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,7.0,7.0,7681-52-9,True,"Disinfection,Bleaching"
F20-CA-LIG,Calcium lignosulfonate concrete retarder,,Bio-Based Ingredients,Lignosulfonates,combo,4,"CN,EU,IN,NA",Powder,10.0,10.0,,True,Cement & construction dispersion
PAM-A-EMU,PAM APAM W/O emulsion 45%,,Water-Soluble Polymers,Synthetic flocculants PAM,combo,4,"APAC,CN,EU,NA",Liquid,15.0,15.0,,True,"Flocculation,Drag reduction / friction reduction"
PAM-A-PWD,PAM APAM anionic powder 90%,,Water-Soluble Polymers,Synthetic flocculants PAM,combo,6,"APAC,CN,EU,IN,MEA,NA",Powder,13.0,13.0,,True,"Flocculation,Drag reduction / friction reduction"
PAM-A-SOL,PAM APAM anionic 30% solution,,Water-Soluble Polymers,Synthetic flocculants PAM,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,14.0,14.0,,True,"Flocculation,Drag reduction / friction reduction"
PAM-C-PWD,PAM CPAM cationic powder 90%,,Water-Soluble Polymers,Synthetic flocculants PAM,combo,6,"APAC,CN,EU,IN,MEA,NA",Powder,16.0,16.0,,True,Flocculation
PAM-C-SOL,PAM CPAM cationic 30% solution,,Water-Soluble Polymers,Synthetic flocculants PAM,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,17.0,17.0,,True,Flocculation
PAM-N-PWD,PAM NPAM non-ionic powder 90%,,Water-Soluble Polymers,Synthetic flocculants PAM,combo,6,"APAC,CN,EU,IN,MEA,NA",Powder,14.0,14.0,9003-05-8,True,Flocculation
PAM-N-SOL,PAM NPAM non-ionic 30% solution,,Water-Soluble Polymers,Synthetic flocculants PAM,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,13.0,13.0,,True,Flocculation
ADV-ARAM-FIB,Para-aramid fibre Kevlar/Twaron equivalent,,Advanced Materials,Aramid and high-performance fibres,combo,2,"EU,NA",Spool,22.0,22.0,,True,Reinforcement & composites
ADV-CF-TOW,Carbon fibre PAN-based standard modulus tow,,Advanced Materials,Carbon-based fibres,combo,4,"APAC,CN,EU,NA",Spool/tow,13.0,13.0,,True,Reinforcement & composites
ADV-EGLASS-CSM,E-glass fibre chopped strand mat,,Advanced Materials,Glass and mineral fibres,combo,3,"CN,EU,NA",Roll/sheet,16.0,16.0,,True,Reinforcement & composites
ADV-EGLASS-ROV,E-glass fibre roving wound spool,,Advanced Materials,Glass and mineral fibres,combo,4,"APAC,CN,EU,NA",Spool,17.0,17.0,,True,Reinforcement & composites
FLU-VII-OCP,VII OCP ethylene-propylene copolymer,,Fluids & Lubricants,Lubricant additives,combo,2,"EU,NA",Liquid/solid,14.0,14.0,,True,Lubrication
FLU-VII-PMA,VII PMA polymethacrylate,,Fluids & Lubricants,Lubricant additives,combo,2,"EU,NA",Liquid/solid,16.0,16.0,,True,Lubrication
FLU-ZDDP-LIQ,ZDDP antiwear additive liquid,,Fluids & Lubricants,Lubricant additives,combo,2,"EU,NA",Liquid,14.0,14.0,,True,Lubrication
FLU-BO1-SN150,Base oil Base oil Group I SN 150,,Fluids & Lubricants,Mineral base oils,combo,3,"APAC,EU,NA",Liquid,11.0,11.0,,True,Lubrication
FLU-BO2-150N,Base oil Base oil Group II 150N,,Fluids & Lubricants,Mineral base oils,combo,3,"APAC,EU,NA",Liquid,12.0,12.0,,True,Lubrication
FLU-BO3-4CST,Base oil Base oil Group III 4cSt,,Fluids & Lubricants,Mineral base oils,combo,3,"APAC,EU,NA",Liquid,13.0,13.0,,True,Lubrication
FLU-PAO-4,PAO 4 low viscosity synthetic,,Fluids & Lubricants,Synthetic lubricants,combo,3,"APAC,EU,NA",Liquid,14.0,14.0,,True,Lubrication
FLU-PAO-68,PAO 6/8 medium viscosity synthetic,,Fluids & Lubricants,Synthetic lubricants,combo,2,"EU,NA",Liquid,15.0,15.0,,True,Lubrication
SIL-EMU-35,Silicone emulsion 35% personal care,,Silicones,Silicone emulsions,combo,3,"APAC,CN,EU",Liquid,11.0,11.0,,True,Conditioning & softening
SIL-EMU-60,Silicone emulsion 60% industrial,,Silicones,Silicone emulsions,combo,2,"CN,EU",Liquid,12.0,12.0,,True,Conditioning & softening
SIL-PDMS-HGH,PDMS high viscosity >10000 cSt,,Silicones,Silicone fluids,combo,4,"APAC,CN,EU,NA",Liquid,12.0,12.0,63148-62-9,True,Lubrication
SIL-PDMS-LOW,PDMS low viscosity 50-1000 cSt,,Silicones,Silicone fluids,combo,4,"APAC,CN,EU,NA",Liquid,11.0,11.0,63148-62-9,True,Lubrication
SIL-RTV1-LIQ,Silicone sealant RTV-1 one-component,,Silicones,Silicone sealants and specialties,combo,4,"APAC,CN,EU,NA",Liquid/paste,12.0,12.0,63148-62-9,True,Crosslinking & curing
SIL-RTV2-LIQ,Silicone sealant RTV-2 two-component,,Silicones,Silicone sealants and specialties,combo,3,"CN,EU,NA",Liquid,11.0,11.0,63148-62-9,True,Crosslinking & curing
SIL-SURF-LIQ,Silicone surfactant polyether-modified,,Silicones,Silicone sealants and specialties,combo,2,"EU,NA",Liquid,14.0,14.0,,True,"Emulsification,Defoaming"
F16-TPP-LIQ,Triphenyl phosphate TPP flame retardant,,Phosphorus Chemicals,Organophosphorus flame retardants,combo,3,"CN,EU,NA",Liquid,16.0,16.0,115-86-6,True,Base chemical / feedstock
F16-ATMP-LIQ,ATMP aminotrimethylene phosphonic acid,,Phosphorus Chemicals,Phosphonate scale inhibitors,combo,3,"CN,EU,NA",Liquid,20.0,20.0,6419-19-8,True,Scale & corrosion inhibition
F16-HEDP-LIQ,HEDP hydroxyethylidene diphosphonic acid,,Phosphorus Chemicals,Phosphonate scale inhibitors,combo,3,"CN,EU,NA",Liquid,20.0,20.0,2809-21-4,True,Scale & corrosion inhibition
F19-THPS-SOL,THPS tetrakis hydroxymethyl phosphonium sulfate,,Phosphorus Chemicals,Phosphonium biocides,combo,3,"EU,MEA,NA",Liquid,22.0,22.0,,True,Water treatment biocidal control
F18-SAP-AGR,SAP agricultural grade,,Water-Soluble Polymers,Superabsorbent polymers,combo,2,"APAC,CN",Powder,12.0,12.0,9003-04-7,True,Superabsorbent
F18-SAP-HYG,SAP hygiene grade sodium polyacrylate crosslinked,,Water-Soluble Polymers,Superabsorbent polymers,combo,4,"APAC,CN,EU,NA",Powder,16.0,16.0,9003-04-7,True,Superabsorbent
F22-LAR-EU,Liquid argon LAR bulk delivery,,Industrial Gases,Air separation gases,combo,4,"APAC,CN,EU,NA",Bulk liquid,8.0,8.0,,True,Base chemical / feedstock
F22-LIN-EU,Liquid nitrogen LIN bulk delivery,,Industrial Gases,Air separation gases,combo,4,"APAC,CN,EU,NA",Bulk liquid,6.0,6.0,,True,Base chemical / feedstock
F22-LOX-EU,Liquid oxygen LOX bulk delivery,,Industrial Gases,Air separation gases,combo,4,"APAC,CN,EU,NA",Bulk liquid,8.0,8.0,,True,Base chemical / feedstock
F22-R1234YF-EU,R-1234yf refrigerant HFO next-gen low-GWP,,Industrial Gases,Refrigerant and fluorochemical gases,combo,4,"APAC,CN,EU,NA",Cylinder/bulk,10.0,10.0,,True,Base chemical / feedstock
F22-R134A-EU,R-134a refrigerant HFC being phased down under Kigali,,Industrial Gases,Refrigerant and fluorochemical gases,combo,4,"APAC,CN,EU,NA",Cylinder/bulk,4.0,4.0,,True,Base chemical / feedstock
F22-R32-EU,R-32 refrigerant difluoromethane HFC,,Industrial Gases,Refrigerant and fluorochemical gases,combo,4,"APAC,CN,EU,NA",Cylinder/bulk,4.0,4.0,,True,Base chemical / feedstock
F22-R410A-EU,R-410A refrigerant blend HFC HVAC standard,,Industrial Gases,Refrigerant and fluorochemical gases,combo,3,"CN,EU,NA",Cylinder/bulk,4.0,4.0,,True,Base chemical / feedstock
F22-CO2-EU,CO2 industrial liquid bulk,,Industrial Gases,Synthesis gases,combo,3,"CN,EU,NA",Bulk liquid,22.0,22.0,,True,Base chemical / feedstock
F22-H2-EU,Hydrogen liquid/gas SMR route,,Industrial Gases,Synthesis gases,combo,3,"CN,EU,NA",Bulk gas,6.0,6.0,,True,Base chemical / feedstock
