combo_id,formula_id,region,assumed_region,form,variant,margin_pct,margin_raw,margin_encoding,volatile,family,subfamily,taxonomy_source,n_lines,weight_total,w_direct,w_proxy,w_unclassified,w_fixed,indexed_pct,priceable_pct,indexed_priceable_pct,coverage_tier,loadable,db_region,basis_currency,basis_incoterm,basis_named_place
OLE-FAL-CPO·MEA,OLE-FAL-CPO,MEA,False,Liquid,,11.0,11,percent,False,Oleochemicals,Fatty alcohols,combo,5,100.0,71.0,18.0,0.0,11.0,89.0,89.0,100.0,P2,True,,,,
OLE-FAL-PKO·EU,OLE-FAL-PKO,EU,False,Liquid,,9.0,9,percent,False,Oleochemicals,Fatty alcohols,combo,5,100.0,23.0,68.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
OLE-FAL-PKO·CN,OLE-FAL-PKO,CN,False,Liquid,,9.0,9,percent,False,Oleochemicals,Fatty alcohols,combo,5,100.0,23.0,68.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
OLE-FAL-PKO·NA,OLE-FAL-PKO,NA,False,Liquid,,9.0,9,percent,False,Oleochemicals,Fatty alcohols,combo,5,100.0,23.0,68.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
OLE-FAL-PKO·APAC,OLE-FAL-PKO,APAC,False,Liquid,,9.0,9,percent,False,Oleochemicals,Fatty alcohols,combo,5,100.0,83.0,8.0,0.0,9.0,91.0,91.0,100.0,P2,True,,,,
OLE-FAL-PKO·IN,OLE-FAL-PKO,IN,False,Liquid,,9.0,9,percent,False,Oleochemicals,Fatty alcohols,combo,5,100.0,83.0,8.0,0.0,9.0,91.0,91.0,100.0,P2,True,,,,
OLE-FAL-PKO·MEA,OLE-FAL-PKO,MEA,False,Liquid,,9.0,9,percent,False,Oleochemicals,Fatty alcohols,combo,5,100.0,73.0,18.0,0.0,9.0,91.0,91.0,100.0,P2,True,,,,
OLE-FAL-C20·EU,OLE-FAL-C20,EU,False,Flake,,15.0,15,percent,False,Oleochemicals,Fatty alcohols,combo,4,100.0,25.0,60.0,0.0,15.0,85.0,85.0,100.0,P3,True,,,,
OLE-FAL-C20·CN,OLE-FAL-C20,CN,False,Flake,,15.0,15,percent,False,Oleochemicals,Fatty alcohols,combo,4,100.0,25.0,60.0,0.0,15.0,85.0,85.0,100.0,P3,True,,,,
OLE-FAL-C20·APAC,OLE-FAL-C20,APAC,False,Flake,,15.0,15,percent,False,Oleochemicals,Fatty alcohols,combo,4,100.0,25.0,60.0,0.0,15.0,85.0,85.0,100.0,P3,True,,,,
OLE-GLY-CRD·EU,OLE-GLY-CRD,EU,False,Liquid,,4.0,4,percent,False,Oleochemicals,Glycerine,combo,4,100.0,20.0,76.0,0.0,4.0,96.0,96.0,100.0,P3,True,,,,
OLE-GLY-CRD·CN,OLE-GLY-CRD,CN,False,Liquid,,4.0,4,percent,False,Oleochemicals,Glycerine,combo,4,100.0,20.0,76.0,0.0,4.0,96.0,96.0,100.0,P3,True,,,,
OLE-GLY-CRD·NA,OLE-GLY-CRD,NA,False,Liquid,,4.0,4,percent,False,Oleochemicals,Glycerine,combo,4,100.0,20.0,76.0,0.0,4.0,96.0,96.0,100.0,P3,True,,,,
OLE-GLY-CRD·APAC,OLE-GLY-CRD,APAC,False,Liquid,,4.0,4,percent,False,Oleochemicals,Glycerine,combo,4,100.0,20.0,76.0,0.0,4.0,96.0,96.0,100.0,P3,True,,,,
OLE-GLY-CRD·IN,OLE-GLY-CRD,IN,False,Liquid,,4.0,4,percent,False,Oleochemicals,Glycerine,combo,4,100.0,20.0,76.0,0.0,4.0,96.0,96.0,100.0,P3,True,,,,
OLE-GLY-REF·EU,OLE-GLY-REF,EU,False,Liquid,,8.0,8,percent,False,Oleochemicals,Glycerine,combo,4,100.0,22.0,70.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
OLE-GLY-REF·CN,OLE-GLY-REF,CN,False,Liquid,,8.0,8,percent,False,Oleochemicals,Glycerine,combo,4,100.0,22.0,70.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
OLE-GLY-REF·IN,OLE-GLY-REF,IN,False,Liquid,,8.0,8,percent,False,Oleochemicals,Glycerine,combo,4,100.0,22.0,70.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
FOD-LEC-LIQ·EU,FOD-LEC-LIQ,EU,False,Liquid,,16.0,16,percent,False,Bio-Based Ingredients,Lecithins & phospholipids,combo,4,100.0,84.0,0.0,0.0,16.0,84.0,84.0,100.0,P1,True,,,,
FOD-LEC-LIQ·NA,FOD-LEC-LIQ,NA,False,Liquid,,16.0,16,percent,False,Bio-Based Ingredients,Lecithins & phospholipids,combo,4,100.0,84.0,0.0,0.0,16.0,84.0,84.0,100.0,P1,True,,,,
FOD-LEC-LIQ·APAC,FOD-LEC-LIQ,APAC,False,Liquid,,16.0,16,percent,False,Bio-Based Ingredients,Lecithins & phospholipids,combo,4,100.0,84.0,0.0,0.0,16.0,84.0,84.0,100.0,P1,True,,,,
FOD-LEC-PWD·EU,FOD-LEC-PWD,EU,False,Powder,,17.0,17,percent,False,Bio-Based Ingredients,Lecithins & phospholipids,combo,5,100.0,83.0,0.0,0.0,17.0,83.0,83.0,100.0,P1,True,,,,
FOD-LEC-PWD·NA,FOD-LEC-PWD,NA,False,Powder,,17.0,17,percent,False,Bio-Based Ingredients,Lecithins & phospholipids,combo,5,100.0,83.0,0.0,0.0,17.0,83.0,83.0,100.0,P1,True,,,,
OLE-ME-FAME·EU,OLE-ME-FAME,EU,False,Liquid,,6.0,6,percent,False,Oleochemicals,Oleochemical esters,combo,4,100.0,24.0,70.0,0.0,6.0,94.0,94.0,100.0,P3,True,,,,
OLE-ME-FAME·APAC,OLE-ME-FAME,APAC,False,Liquid,,6.0,6,percent,False,Oleochemicals,Oleochemical esters,combo,4,100.0,94.0,0.0,0.0,6.0,94.0,94.0,100.0,P1,True,,,,
OLE-ME-FAME·LA,OLE-ME-FAME,LA,False,Liquid,,6.0,6,percent,False,Oleochemicals,Oleochemical esters,combo,4,100.0,94.0,0.0,0.0,6.0,94.0,94.0,100.0,P1,True,,,,
FOD-RBD-LIQ·APAC,FOD-RBD-LIQ,APAC,False,Liquid,,6.0,6,percent,False,Oleochemicals,Vegetable oil feedstocks,combo,4,100.0,94.0,0.0,0.0,6.0,94.0,94.0,100.0,P1,True,,,,
FOD-RBD-LIQ·IN,FOD-RBD-LIQ,IN,False,Liquid,,6.0,6,percent,False,Oleochemicals,Vegetable oil feedstocks,combo,4,100.0,94.0,0.0,0.0,6.0,94.0,94.0,100.0,P1,True,,,,
FOD-RBD-LIQ·MEA,FOD-RBD-LIQ,MEA,False,Liquid,,6.0,6,percent,False,Oleochemicals,Vegetable oil feedstocks,combo,4,100.0,8.0,86.0,0.0,6.0,94.0,94.0,100.0,P3,True,,,,
SUR-CAPB-LIQ·EU,SUR-CAPB-LIQ,EU,False,Liquid,,14.0,14,percent,False,Surfactants,Amphoteric surfactants,combo,6,100.0,21.0,65.0,0.0,14.0,86.0,86.0,100.0,P3,True,,,,
SUR-CAPB-LIQ·CN,SUR-CAPB-LIQ,CN,False,Liquid,,14.0,14,percent,False,Surfactants,Amphoteric surfactants,combo,6,100.0,21.0,65.0,0.0,14.0,86.0,86.0,100.0,P3,True,,,,
SUR-CAPB-LIQ·NA,SUR-CAPB-LIQ,NA,False,Liquid,,14.0,14,percent,False,Surfactants,Amphoteric surfactants,combo,6,100.0,21.0,65.0,0.0,14.0,86.0,86.0,100.0,P3,True,,,,
SUR-CAPB-LIQ·APAC,SUR-CAPB-LIQ,APAC,False,Liquid,,14.0,14,percent,False,Surfactants,Amphoteric surfactants,combo,6,100.0,21.0,65.0,0.0,14.0,86.0,86.0,100.0,P3,True,,,,
SUR-LABS-ACD·EU,SUR-LABS-ACD,EU,False,Liquid,,5.0,5,percent,False,Surfactants,Anionic LABS chain,combo,7,100.0,92.0,3.0,0.0,5.0,95.0,95.0,100.0,P2,True,,,,
SUR-LABS-ACD·CN,SUR-LABS-ACD,CN,False,Liquid,,5.0,5,percent,False,Surfactants,Anionic LABS chain,combo,7,100.0,92.0,3.0,0.0,5.0,95.0,95.0,100.0,P2,True,,,,
SUR-LABS-ACD·NA,SUR-LABS-ACD,NA,False,Liquid,,5.0,5,percent,False,Surfactants,Anionic LABS chain,combo,7,100.0,92.0,3.0,0.0,5.0,95.0,95.0,100.0,P2,True,,,,
SUR-LABS-ACD·APAC,SUR-LABS-ACD,APAC,False,Liquid,,5.0,5,percent,False,Surfactants,Anionic LABS chain,combo,7,100.0,69.0,26.0,0.0,5.0,95.0,95.0,100.0,P2,True,,,,
SUR-LABS-ACD·IN,SUR-LABS-ACD,IN,False,Liquid,,5.0,5,percent,False,Surfactants,Anionic LABS chain,combo,7,100.0,87.0,8.0,0.0,5.0,95.0,95.0,100.0,P2,True,,,,
SUR-LABS-ACD·MEA,SUR-LABS-ACD,MEA,False,Liquid,,5.0,5,percent,False,Surfactants,Anionic LABS chain,combo,7,100.0,62.0,33.0,0.0,5.0,95.0,95.0,100.0,P2,True,,,,
SUR-LABS-ACD·LA,SUR-LABS-ACD,LA,False,Liquid,,5.0,5,percent,False,Surfactants,Anionic LABS chain,combo,7,100.0,62.0,33.0,0.0,5.0,95.0,95.0,100.0,P2,True,,,,
SUR-LABS-PWD·EU,SUR-LABS-PWD,EU,False,Powder,,8.0,8,percent,False,Surfactants,Anionic LABS chain,combo,5,100.0,30.0,62.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-LABS-PWD·CN,SUR-LABS-PWD,CN,False,Powder,,8.0,8,percent,False,Surfactants,Anionic LABS chain,combo,5,100.0,30.0,62.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-LABS-PWD·NA,SUR-LABS-PWD,NA,False,Powder,,8.0,8,percent,False,Surfactants,Anionic LABS chain,combo,5,100.0,30.0,62.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-LABS-PWD·APAC,SUR-LABS-PWD,APAC,False,Powder,,8.0,8,percent,False,Surfactants,Anionic LABS chain,combo,5,100.0,25.0,67.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-LABS-S30·EU,SUR-LABS-S30,EU,False,Liquid,,7.0,7,percent,False,Surfactants,Anionic LABS chain,combo,6,100.0,25.0,68.0,0.0,7.0,93.0,93.0,100.0,P3,True,,,,
SUR-LABS-S30·CN,SUR-LABS-S30,CN,False,Liquid,,7.0,7,percent,False,Surfactants,Anionic LABS chain,combo,6,100.0,25.0,68.0,0.0,7.0,93.0,93.0,100.0,P3,True,,,,
SUR-LABS-S30·NA,SUR-LABS-S30,NA,False,Liquid,,7.0,7,percent,False,Surfactants,Anionic LABS chain,combo,6,100.0,25.0,68.0,0.0,7.0,93.0,93.0,100.0,P3,True,,,,
SUR-LABS-S30·APAC,SUR-LABS-S30,APAC,False,Liquid,,7.0,7,percent,False,Surfactants,Anionic LABS chain,combo,6,100.0,19.0,74.0,0.0,7.0,93.0,93.0,100.0,P3,True,,,,
SUR-LABS-S30·IN,SUR-LABS-S30,IN,False,Liquid,,7.0,7,percent,False,Surfactants,Anionic LABS chain,combo,6,100.0,19.0,74.0,0.0,7.0,93.0,93.0,100.0,P3,True,,,,
SUR-LABS-S30·MEA,SUR-LABS-S30,MEA,False,Liquid,,7.0,7,percent,False,Surfactants,Anionic LABS chain,combo,6,100.0,14.0,79.0,0.0,7.0,93.0,93.0,100.0,P3,True,,,,
SUR-LABS-S30·LA,SUR-LABS-S30,LA,False,Liquid,,7.0,7,percent,False,Surfactants,Anionic LABS chain,combo,6,100.0,14.0,79.0,0.0,7.0,93.0,93.0,100.0,P3,True,,,,
SUR-LABS-S60·EU,SUR-LABS-S60,EU,False,Liquid,,8.0,8,percent,False,Surfactants,Anionic LABS chain,combo,5,100.0,30.0,62.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-LABS-S60·CN,SUR-LABS-S60,CN,False,Liquid,,8.0,8,percent,False,Surfactants,Anionic LABS chain,combo,5,100.0,30.0,62.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-LABS-S60·NA,SUR-LABS-S60,NA,False,Liquid,,8.0,8,percent,False,Surfactants,Anionic LABS chain,combo,5,100.0,30.0,62.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-LABS-S60·APAC,SUR-LABS-S60,APAC,False,Liquid,,8.0,8,percent,False,Surfactants,Anionic LABS chain,combo,5,100.0,22.0,70.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-LABS-S60·IN,SUR-LABS-S60,IN,False,Liquid,,8.0,8,percent,False,Surfactants,Anionic LABS chain,combo,5,100.0,22.0,70.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-LABS-S60·MEA,SUR-LABS-S60,MEA,False,Liquid,,8.0,8,percent,False,Surfactants,Anionic LABS chain,combo,5,100.0,14.0,78.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-AES-2EO·EU,SUR-AES-2EO,EU,False,Liquid,,8.0,8,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,37.0,55.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-AES-2EO·CN,SUR-AES-2EO,CN,False,Liquid,,8.0,8,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,37.0,55.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-AES-2EO·NA,SUR-AES-2EO,NA,False,Liquid,,8.0,8,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,21.0,71.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-AES-2EO·APAC,SUR-AES-2EO,APAC,False,Liquid,,8.0,8,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,13.0,79.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-AES-2EO·IN,SUR-AES-2EO,IN,False,Liquid,,8.0,8,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,21.0,71.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-AES-2EO·MEA,SUR-AES-2EO,MEA,False,Liquid,,8.0,8,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,13.0,79.0,0.0,8.0,92.0,92.0,100.0,P3,True,,,,
SUR-AES-3EO·EU,SUR-AES-3EO,EU,False,Liquid,,9.0,9,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,40.0,51.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
SUR-AES-3EO·CN,SUR-AES-3EO,CN,False,Liquid,,9.0,9,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,40.0,51.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
SUR-AES-3EO·NA,SUR-AES-3EO,NA,False,Liquid,,9.0,9,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,20.0,71.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
SUR-AES-3EO·APAC,SUR-AES-3EO,APAC,False,Liquid,,9.0,9,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,13.0,78.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
SUR-AES-3EO·IN,SUR-AES-3EO,IN,False,Liquid,,9.0,9,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,20.0,71.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
SUR-AES-3EO·MEA,SUR-AES-3EO,MEA,False,Liquid,,9.0,9,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,13.0,78.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
SUR-SLS-PST·EU,SUR-SLS-PST,EU,False,Liquid,,9.0,9,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,35.0,56.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
SUR-SLS-PST·CN,SUR-SLS-PST,CN,False,Liquid,,9.0,9,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,35.0,56.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
SUR-SLS-PST·NA,SUR-SLS-PST,NA,False,Liquid,,9.0,9,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,35.0,56.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
SUR-SLS-PST·APAC,SUR-SLS-PST,APAC,False,Liquid,,9.0,9,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,13.0,78.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
SUR-SLS-PST·IN,SUR-SLS-PST,IN,False,Liquid,,9.0,9,percent,False,Surfactants,Anionic SLS/SLES chain,combo,5,100.0,29.0,62.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
SUR-SLS-PWD·EU,SUR-SLS-PWD,EU,False,Powder,,10.0,10,percent,False,Surfactants,Anionic SLS/SLES chain,combo,6,100.0,44.0,46.0,0.0,10.0,90.0,90.0,100.0,P3,True,,,,
SUR-SLS-PWD·CN,SUR-SLS-PWD,CN,False,Powder,,10.0,10,percent,False,Surfactants,Anionic SLS/SLES chain,combo,6,100.0,44.0,46.0,0.0,10.0,90.0,90.0,100.0,P3,True,,,,
SUR-SLS-PWD·NA,SUR-SLS-PWD,NA,False,Powder,,10.0,10,percent,False,Surfactants,Anionic SLS/SLES chain,combo,6,100.0,44.0,46.0,0.0,10.0,90.0,90.0,100.0,P3,True,,,,
SUR-SLS-PWD·APAC,SUR-SLS-PWD,APAC,False,Powder,,10.0,10,percent,False,Surfactants,Anionic SLS/SLES chain,combo,6,100.0,24.0,66.0,0.0,10.0,90.0,90.0,100.0,P3,True,,,,
SUR-FAM-C12·EU,SUR-FAM-C12,EU,False,Liquid,,13.0,13,percent,False,Surfactants,Cationic amines & quaternaries,combo,5,100.0,41.0,46.0,0.0,13.0,87.0,87.0,100.0,P3,True,,,,
SUR-FAM-C12·APAC,SUR-FAM-C12,APAC,False,Liquid,,13.0,13,percent,False,Surfactants,Cationic amines & quaternaries,combo,5,100.0,69.0,18.0,0.0,13.0,87.0,87.0,100.0,P2,True,,,,
SUR-FAM-C12·IN,SUR-FAM-C12,IN,False,Liquid,,13.0,13,percent,False,Surfactants,Cationic amines & quaternaries,combo,5,100.0,87.0,0.0,0.0,13.0,87.0,87.0,100.0,P1,True,,,,
SUR-FAM-C18·EU,SUR-FAM-C18,EU,False,Liquid,,13.0,13,percent,False,Surfactants,Cationic amines & quaternaries,combo,5,100.0,39.0,48.0,0.0,13.0,87.0,87.0,100.0,P3,True,,,,
SUR-FAM-C18·APAC,SUR-FAM-C18,APAC,False,Liquid,,13.0,13,percent,False,Surfactants,Cationic amines & quaternaries,combo,5,100.0,71.0,16.0,0.0,13.0,87.0,87.0,100.0,P2,True,,,,
SUR-APG-LIQ·EU,SUR-APG-LIQ,EU,False,Liquid,,15.0,15,percent,False,Surfactants,Non-ionic ester & glucoside,combo,6,100.0,50.0,35.0,0.0,15.0,85.0,85.0,100.0,P2,True,,,,
SUR-APG-LIQ·CN,SUR-APG-LIQ,CN,False,Liquid,,15.0,15,percent,False,Surfactants,Non-ionic ester & glucoside,combo,6,100.0,50.0,35.0,0.0,15.0,85.0,85.0,100.0,P2,True,,,,
SUR-APG-LIQ·NA,SUR-APG-LIQ,NA,False,Liquid,,15.0,15,percent,False,Surfactants,Non-ionic ester & glucoside,combo,6,100.0,22.0,63.0,0.0,15.0,85.0,85.0,100.0,P3,True,,,,
SUR-APG-LIQ·APAC,SUR-APG-LIQ,APAC,False,Liquid,,15.0,15,percent,False,Surfactants,Non-ionic ester & glucoside,combo,6,100.0,22.0,63.0,0.0,15.0,85.0,85.0,100.0,P3,True,,,,
F19-IMID-LIQ·EU,F19-IMID-LIQ,EU,False,Liquid,,22.0,22,percent,False,Surfactants,Cationic amines & quaternaries,combo,5,100.0,20.0,58.0,0.0,22.0,78.0,78.0,100.0,P3,True,,,,
F19-IMID-LIQ·NA,F19-IMID-LIQ,NA,False,Liquid,,22.0,22,percent,False,Surfactants,Cationic amines & quaternaries,combo,5,100.0,20.0,58.0,0.0,22.0,78.0,78.0,100.0,P3,True,,,,
F19-IMID-LIQ·MEA,F19-IMID-LIQ,MEA,False,Liquid,,22.0,22,percent,False,Surfactants,Cationic amines & quaternaries,combo,5,100.0,12.0,66.0,0.0,22.0,78.0,78.0,100.0,P3,True,,,,
SUR-SULF-LIQ·EU,SUR-SULF-LIQ,EU,False,Liquid,,20.0,20,percent,False,Surfactants,Anionic wetting agents,combo,5,100.0,20.0,60.0,0.0,20.0,80.0,80.0,100.0,P3,True,,,,
SUR-SULF-LIQ·CN,SUR-SULF-LIQ,CN,False,Liquid,,20.0,20,percent,False,Surfactants,Anionic wetting agents,combo,5,100.0,20.0,60.0,0.0,20.0,80.0,80.0,100.0,P3,True,,,,
SUR-SULF-LIQ·NA,SUR-SULF-LIQ,NA,False,Liquid,,20.0,20,percent,False,Surfactants,Anionic wetting agents,combo,5,100.0,20.0,60.0,0.0,20.0,80.0,80.0,100.0,P3,True,,,,
RES-PA6-PEL·EU,RES-PA6-PEL,EU,False,Pellets,,11.0,11,percent,False,Plastics & Resins,Engineering thermoplastics,combo,5,100.0,89.0,0.0,0.0,11.0,89.0,89.0,100.0,P1,True,,,,
RES-PA6-PEL·CN,RES-PA6-PEL,CN,False,Pellets,,11.0,11,percent,False,Plastics & Resins,Engineering thermoplastics,combo,5,100.0,21.0,68.0,0.0,11.0,89.0,89.0,100.0,P3,True,,,,
RES-PA6-PEL·NA,RES-PA6-PEL,NA,False,Pellets,,11.0,11,percent,False,Plastics & Resins,Engineering thermoplastics,combo,5,100.0,21.0,68.0,0.0,11.0,89.0,89.0,100.0,P3,True,,,,
RES-PA6-PEL·APAC,RES-PA6-PEL,APAC,False,Pellets,,11.0,11,percent,False,Plastics & Resins,Engineering thermoplastics,combo,5,100.0,18.0,71.0,0.0,11.0,89.0,89.0,100.0,P3,True,,,,
RES-PC-PEL·EU,RES-PC-PEL,EU,False,Pellets,,12.0,12,percent,False,Plastics & Resins,Engineering thermoplastics,combo,5,100.0,88.0,0.0,0.0,12.0,88.0,88.0,100.0,P1,True,,,,
RES-PC-PEL·CN,RES-PC-PEL,CN,False,Pellets,,12.0,12,percent,False,Plastics & Resins,Engineering thermoplastics,combo,5,100.0,88.0,0.0,0.0,12.0,88.0,88.0,100.0,P1,True,,,,
RES-PC-PEL·NA,RES-PC-PEL,NA,False,Pellets,,12.0,12,percent,False,Plastics & Resins,Engineering thermoplastics,combo,5,100.0,22.0,66.0,0.0,12.0,88.0,88.0,100.0,P3,True,,,,
RES-PC-PEL·APAC,RES-PC-PEL,APAC,False,Pellets,,12.0,12,percent,False,Plastics & Resins,Engineering thermoplastics,combo,5,100.0,19.0,69.0,0.0,12.0,88.0,88.0,100.0,P3,True,,,,
F20-PCE-LIQ·EU,F20-PCE-LIQ,EU,False,Liquid,,14.0,14,percent,False,Plastics & Resins,Polycarboxylate resins,combo,5,100.0,20.0,66.0,0.0,14.0,86.0,86.0,100.0,P3,True,,,,
F20-PCE-LIQ·CN,F20-PCE-LIQ,CN,False,Liquid,,14.0,14,percent,False,Plastics & Resins,Polycarboxylate resins,combo,5,100.0,20.0,66.0,0.0,14.0,86.0,86.0,100.0,P3,True,,,,
F20-PCE-LIQ·NA,F20-PCE-LIQ,NA,False,Liquid,,14.0,14,percent,False,Plastics & Resins,Polycarboxylate resins,combo,5,100.0,20.0,66.0,0.0,14.0,86.0,86.0,100.0,P3,True,,,,
F20-PCE-LIQ·IN,F20-PCE-LIQ,IN,False,Liquid,,14.0,14,percent,False,Plastics & Resins,Polycarboxylate resins,combo,5,100.0,20.0,66.0,0.0,14.0,86.0,86.0,100.0,P3,True,,,,
F20-PCE-PWD·CN,F20-PCE-PWD,CN,False,Powder,,13.0,13,percent,False,Plastics & Resins,Polycarboxylate resins,combo,6,100.0,27.0,60.0,0.0,13.0,87.0,87.0,100.0,P3,True,,,,
