type_code,label,resolves_to,resolution,proxy_status,swap_priority,ideal_index,registry_note,n_formulas,n_lines,total_weight
CL2-NA,Chlorine,caustic-soda-na,resolved,proxy,B,,Chlorine methylchlorosilane step,17,17,434.0
COAL-AU,Coal feedstock steam activation,coal-au,no_series,direct,B,,2-Methylnaphthalene (coal tar/naphthalene-range ro,3,6,285.0
COCO-WB,Lauric acid (coconut oil route),coconut-oil-wb,no_series,proxy,B,,Myristic acid (coconut/palm kernel oil route),7,21,856.0
CORN-CBOT,Corn glucose fermentation,corn,resolved,proxy,B,,Glucose feedstock,12,24,1307.0
CORN-US,Corn (dextrose fermentation feedstock),corn-na,no_series,unclassified,,,,2,2,132.0
CPO-MY,CPO feedstock,cpo,resolved,proxy,B,,CPO feedstock,11,41,2581.0
CU-GLOBAL,Copper (LME),copper,resolved,direct,,,,1,3,120.0
DAP-WB,World Bank DAP index,dap,resolved,direct,,,,1,4,224.0
ELEC-APAC,Industrial electricity,elec-cn,resolved,direct,C,,Silica oxides electricity proxy,148,149,1681.0
ELEC-CN,Industrial electricity,elec-cn,resolved,direct,C,,E-glass roving cascade,200,204,2361.0
ELEC-EU,Industrial electricity,elec-eu,resolved,direct,C,,Industrial electricity,266,304,3249.0
ELEC-IN,Industrial electricity,elec-in,resolved,direct,,,,66,66,705.0
ELEC-MEA,Industrial electricity spray drying,elec-mea,resolved,direct,,,,4,4,28.0
ELEC-NA,Industrial electricity,elec-na,resolved,direct,C,,E-glass roving cascade,237,244,2702.0
ELEC-US-PPI,Industrial electricity,elec-power-ppi,no_series,unclassified,,,,59,61,760.0
EO-ASIA,Ethylene oxide,brent,resolved,proxy,A,EO  ASIA regional price,Ethylene oxide 2 mol,15,22,568.0
EO-CN,Ethylene oxide,brent,resolved,direct,A,EO  CN regional price,Ethylene oxide (ethoxylation),8,8,215.0
EO-EU,Ethylene oxide,brent,resolved,direct,A,EO  EU regional price,PEG polyethylene glycol EO proxy,18,29,889.0
ETH-APAC,Ethylene monomer,ethylene-propylene-na,resolved,direct,,,,8,8,406.0
ETH-CN,Ethylene monomer,brent,resolved,direct,A,ETH  CN regional price,Thiodiglycol ethylene+H2S proxy,11,11,544.0
ETH-IN,Ethylene monomer,ethylene-propylene-na,resolved,direct,,,,2,2,106.0
ETH-MEA,Ethylene monomer,ethylene-propylene-na,resolved,proxy,B,,Ethylene monomer,2,2,124.0
ETH-NWE,Ethylene monomer,brent,resolved,direct,A,ETH  NWE regional price,Thiodiglycol ethylene+H2S proxy,20,20,965.0
ETH-US,Ethylene monomer,ethylene-propylene-na,resolved,direct,,,,20,20,997.0
ETH-US-PPI,Ethanol (feedstock),ethanol-ppi,no_series,unclassified,,,,1,1,37.0
FA-US,Oleic acid,fatty-acids-ppi,no_series,direct,B,,Oleic acid,8,16,560.0
FE-MB,Iron scrap ore upstream,iron-scrap-na,resolved,direct,,,,9,9,368.0
FE-MB-CN,Iron scrap ore upstream,iron-scrap-na,resolved,direct,,,,9,9,368.0
FE-MB-GLB,Iron scrap ore upstream,iron-scrap-na,resolved,proxy,B,,Iron scrap feedstock,5,7,277.0
FE-MB-IN,Iron scrap ore upstream,iron-scrap-na,resolved,direct,,,,6,6,253.0
FE-MB-NA,Iron scrap ore upstream,iron-scrap-na,resolved,direct,,,,8,8,319.0
GAS-BR,Natural gas distillation,gas-brazil,resolved,direct,B,,Natural gas ammonia route,4,4,108.0
GAS-CN,Natural gas spray drying,gas-china,resolved,direct,,,,2,2,10.0
GAS-IN,Natural gas spray drying,gas-india,resolved,proxy,B,,Hydrogen natural gas proxy,11,11,181.0
GAS-MEA,Natural gas spray drying,gas-mea,resolved,proxy,B,,Hydrogen natural gas proxy,11,11,149.0
GLUC-CN,Glucose fermentation,corn,resolved,direct,,,,8,8,421.0
GLUC-ICIS,Glucose fermentation,corn,resolved,direct,B,,L-Glutamic acid glucose fermentation proxy,9,9,451.0
GUAR-APAC,Guar gum powder NCDEX,guar-gum,resolved,proxy,B,,Guar gum powder NCDEX,1,1,70.0
GUAR-IN,Guar gum powder NCDEX,guar-gum,resolved,direct,,,,1,1,70.0
GUAR-MEA,Guar gum powder NCDEX,guar-gum,resolved,proxy,B,,Guar gum powder NCDEX,1,1,70.0
GUM-WOOD-US,Gum and wood chemicals PPI,gum-wood-na,no_series,unclassified,,,,1,1,66.0
H2SO4-ASIA,Sulfuric acid H2SO4,sulfuric-acid-cn,resolved,proxy,B,,Sulfuric acid H2SO4,15,15,299.0
H2SO4-CN,Sulfuric acid H2SO4,sulfuric-acid-cn,resolved,direct,B,,H2O2 oxidant proxy,20,20,401.0
H2SO4-IN,Sulfuric acid H2SO4,sulfuric-acid-na,resolved,direct,B,,Hydrochloric acid HCl,15,15,302.0
H2SO4-MEA,Sulfuric acid H2SO4,sulfuric-acid-na,resolved,proxy,B,,Sulfuric acid H2SO4,10,10,188.0
H2SO4-NA,Sulfuric acid H2SO4,sulfuric-acid-na,resolved,direct,B,,Sulfuric acid H2SO4,21,23,429.0
H2SO4-NWE,Hydrofluoric acid HF ICIS spot proxy,sulfuric-acid-na,resolved,proxy,B,,H2O2 oxidant proxy,26,35,747.0
HDPE-ASIA,HDPE bag packaging,brent,resolved,proxy,C,,HDPE drums packaging,61,77,303.0
HDPE-CN,HDPE bag packaging,brent,resolved,direct,C,,PP bag packaging,71,71,281.0
HDPE-EU,HDPE bag packaging,brent,resolved,direct,C,,HDPE drums packaging,122,142,561.0
HDPE-NA,HDPE bag packaging,hdpe-na,resolved,direct,C,,HDPE drums packaging,63,70,279.0
HH-NA,Natural gas H2 production,natgas-na,resolved,proxy,B,,Hydrogen natural gas proxy,36,36,684.0
HIDES-GL,Bovine hides (IMF World Bank),hides-gl,no_series,unclassified,,,,1,1,58.0
ILM-MB,Ilmenite ore feedstock,ilmenite,no_series,proxy,B,,Ilmenite ore feedstock,1,5,160.0
INORG-US,Bromine / inorganic chemicals proxy,inorg-chem-ppi,no_series,unclassified,,,,9,9,352.0
JKM-APAC,Natural gas refinery fuel,lng-japan,resolved,proxy,B,,Hydrogen natural gas proxy,22,22,280.0
KCL-WB,KCl precipitation step,kcl-wb,no_series,unclassified,,,,2,2,55.0
LAB-ASIA,LABSA cascade,lab-apac,resolved,proxy,B,,LABSA cascade,4,6,324.0
LAB-CN,LABSA cascade,lab-apac,resolved,proxy,B,,LABSA cascade,4,4,224.0
LAB-IN,LABSA cascade,lab-in,resolved,proxy,B,,LABSA cascade,3,3,162.0
LAB-ME,LABSA cascade,lab-mea,resolved,proxy,B,,LABSA cascade,3,3,162.0
LAB-NA,LABSA cascade,lab-na,resolved,proxy,B,,LABSA cascade,4,4,224.0
LAB-NWE,LABSA cascade,lab-eu,resolved,proxy,B,,LABSA cascade,4,4,224.0
LAO-EU,Linear alpha-olefins LAO,brent,resolved,proxy,A,LAO  EU regional price,Linear alpha-olefins LAO,2,5,348.0
LCI-APAC,Fixed costs LCI,lci-apac,resolved,direct,,,,134,134,1407.0
LCI-CN,Fixed costs LCI,lci-cn,resolved,direct,,,,198,198,2101.0
LCI-EU,Fixed costs LCI,lci-eu,resolved,direct,,,,244,244,2487.0
LCI-IN,Fixed costs LCI,lci-in,resolved,direct,,,,69,69,782.0
LCI-LA,Fixed costs LCI,lci-la,resolved,direct,,,,13,13,126.0
LCI-MEA,Fixed costs LCI,lci-mea,resolved,direct,,,,38,38,422.0
LCI-NA,Fixed costs LCI,lci-na,resolved,direct,,,,276,278,2821.0
LIME-US,Lime BLS PPI direct index,lime-na,no_series,direct,,,,4,10,504.0
LNG-JKM,Natural gas spray drying,lng-jkm-asia,no_series,direct,,,,2,2,10.0
MEG-ASIA,MEG monoethylene glycol,brent,resolved,direct,,,,2,2,44.0
MEG-CN,MEG monoethylene glycol,brent,resolved,direct,,,,2,2,44.0
MEG-EU,MEG monoethylene glycol,brent,resolved,direct,,,,1,1,22.0
MEG-NA,MEG monoethylene glycol,ethylene-propylene-na,resolved,direct,,,,2,2,44.0
MEOH-ASIA,Methanol (methyl chloride route),methanol-na,resolved,proxy,B,,Methanol methylchlorosilane step,22,23,522.0
MEOH-CN,Formaldehyde (methanol route),methanol-na,resolved,proxy,B,,Formaldehyde methanol proxy,27,28,769.0
MEOH-EU,Formaldehyde (methanol route),methanol-na,resolved,proxy,B,,Formaldehyde methanol proxy,37,39,1018.0
MEOH-NA,Formaldehyde (methanol route),methanol-na,resolved,proxy,B,,Formaldehyde methanol proxy,46,48,1239.0
MMA-CN,MPEG methacrylate Evonik VISIOMER,brent,resolved,proxy,A,MMA  CN regional price,MPEG methacrylate Evonik VISIOMER,3,8,286.0
MMA-EU,MMA methyl methacrylate,brent,resolved,proxy,A,MMA  EU regional price,MPEG methacrylate Evonik VISIOMER,3,4,202.0
NAOH-ASIA,Caustic soda 50%,caustic-soda-cn,resolved,proxy,B,,Caustic soda 50%,13,19,170.0
NAOH-CN,Caustic soda 50%,caustic-soda-cn,resolved,direct,,,,13,13,129.0
NAOH-IN,Caustic soda 50%,elec-in,resolved,proxy,B,,Caustic soda 50%,8,8,74.0
NAOH-NA,Caustic soda 50%,caustic-soda-na,resolved,direct,,,,17,18,172.0
NAOH-NWE,Caustic soda 50%,elec-eu,resolved,direct,,,,18,18,177.0
NAOH-US,Caustic soda (neutralisation),caustic-soda-ppi,no_series,unclassified,,,,1,1,26.0
NAPH-ASIA,Naphtha feedstock,brent,resolved,direct,B,,Phthalic anhydride,9,9,557.0
NAPH-CN,Naphtha feedstock,brent,resolved,direct,B,,Phthalic anhydride,6,6,357.0
NAPH-NA,Naphtha feedstock,brent,resolved,direct,B,,Phthalic anhydride,9,9,557.0
NAPH-NWE,Naphtha feedstock,brent,resolved,direct,B,,Phthalic anhydride,9,9,557.0
NATGAS-US,"Syngas (CO+H2, natural gas steam reforming)",natgas-ppi,no_series,proxy,A,NATGAS  US regional price,Carbon monoxide (natural gas route),13,27,646.0
NDRC-CN,Natural gas H2 production,gas-china,resolved,proxy,B,,Hydrogen natural gas proxy,28,28,624.0
NH3-APAC,Ammonia,ammonia-na,resolved,proxy,B,,DMAPA ammonia proxy,12,12,203.0
NH3-CN,DADMAC dimethylamine leg (ammonia proxy),ammonia-na,resolved,proxy,B,,DMAPA ammonia proxy,20,22,346.0
NH3-EU,Ammonia,ttf-eu,resolved,direct,B,,DMAPA ammonia proxy,23,25,403.0
NH3-IN,Ammonia,gas-india,resolved,proxy,B,,Nitric acid ammonia+air proxy,13,14,232.0
NH3-MEA,DADMAC dimethylamine leg (ammonia proxy),gas-mea,resolved,proxy,B,,DETA diethylenetriamine ammonia proxy,5,6,159.0
NH3-NA,Ammonia nitrogen source,ammonia-na,resolved,proxy,B,,DMAPA ammonia proxy,23,28,542.0
ORANGE-GL,Orange oil / citrus peel byproduct,orange-gl,no_series,unclassified,,,,2,2,120.0
PA-EU,Phthalic anhydride,brent,resolved,proxy,A,PA  EU regional price,Phthalic anhydride,4,10,317.0
PHOS-US,Phosphoric acid (phosphate rock proxy),phosphates-ppi,no_series,unclassified,,,,1,1,43.0
PHOS-WB,Fluorspar China domestic proxy,dap,resolved,proxy,B,,Phosphate rock WB,14,55,2116.0
PKO-MY,Fatty alcohol C12-C14 PKO,pko,resolved,proxy,B,,Palm kernel oil PKO,11,46,2070.0
PRP-APAC,Propylene monomer,ethylene-propylene-na,resolved,proxy,B,,Propylene monomer,34,37,1452.0
PRP-CN,2-Ethylhexanol (oxo-alcohol route),brent,resolved,proxy,A,PRP  CN regional price,Maleic anhydride propylene proxy,34,34,1314.0
PRP-NWE,Propylene monomer,brent,resolved,proxy,A,PRP  NWE regional price,Maleic anhydride propylene proxy,44,46,1771.0
PRP-US,DADMAC allyl chloride leg (propylene proxy),ethylene-propylene-na,resolved,proxy,B,,Maleic anhydride propylene proxy,51,56,2011.0
PTA-ASIA,PTA purified terephthalic acid,brent,resolved,direct,,,,2,2,105.0
PTA-CN,PTA purified terephthalic acid,brent,resolved,direct,,,,2,2,105.0
PTA-EU,PTA purified terephthalic acid,brent,resolved,direct,A,PTA  EU regional price,PTA terephthalic acid,2,2,79.0
PTA-NA,PTA purified terephthalic acid,brent,resolved,direct,A,PTA  NA regional price,PTA terephthalic acid,3,3,133.0
RG-US,Butene-1/hexene-1 comonomer (refinery gas route),refinery-gases-ppi,no_series,unclassified,B,,Acetaldehyde (refinery gases route) — proxied via,18,29,947.0
RUT-MB,Rutile ore feedstock,rutile,no_series,proxy,B,,Rutile ore feedstock,1,2,60.0
SALT-US,Salt (electrolyte feedstock),salt-ppi,no_series,unclassified,,,,1,1,27.0
SI-CN,PDMS internal cascade,silicon-metal-cn,no_series,proxy,B,,PDMS internal cascade,6,6,315.0
SI-MB,PDMS internal cascade,silicon-metal-mb,no_series,proxy,B,,PDMS internal cascade,7,11,555.0
SI-NA,PDMS internal cascade,silicon-metal-na,no_series,proxy,B,,PDMS internal cascade,5,5,237.0
SODA-CN,Soda ash / sodium silicate feedstock,alkalies-chlorine-ppi,no_series,direct,,,,1,1,30.0
SODA-EU,Soda ash / sodium silicate feedstock,alkalies-chlorine-ppi,no_series,direct,,,,1,1,30.0
SODA-GL,Soda ash / sodium silicate feedstock,alkalies-chlorine-ppi,no_series,direct,,,,1,1,30.0
SODA-US,Soda ash,alkalies-chlorine-ppi,no_series,unclassified,,,,7,8,191.0
SOY-CBOT,Soybean oil CBOT,soybean-oil,resolved,direct,,,,2,5,324.0
STY-ASIA,Styrene monomer,brent,resolved,direct,A,STY  ASIA regional price,Toluene,4,4,179.0
STY-CN,Styrene monomer,brent,resolved,direct,A,STY  CN regional price,Toluene,5,5,207.0
STY-EU,Styrene monomer,brent,resolved,direct,A,STY  EU regional price,Toluene,5,5,207.0
STY-NA,Styrene monomer,brent,resolved,direct,A,STY  NA regional price,Toluene,5,5,207.0
SULF-WB,Sulfuric acid PPI (self-referential proxy),sulfuric-acid-na,resolved,direct,A,SULF  WB regional price,Sulfuric acid PPI (self-referential proxy),18,45,1116.0
TTF-EU,Natural gas H2 production,ttf-eu,resolved,proxy,B,,Hydrogen natural gas proxy,36,36,684.0
UREA-WB,World Bank Urea index,urea,resolved,direct,B,,Urea (cyanuric chloride route),3,12,638.0
WATER-EU,Process water,water-eu,resolved,proxy,C,,Process water,19,100,648.0
WHEAT-EURONEXT,Corn sugarcane fermentation,wheat,resolved,direct,,,,2,2,120.0
WOOD-PULP-US,Wood pulp (cellulose feedstock),wood-pulp-na,no_series,unclassified,,,,2,2,87.0
ZINC-GL,Zinc LME,zinc-gl,no_series,unclassified,,,,3,3,93.0
ZN-LME,Zinc metal LME,zinc,resolved,direct,B,,Manganese zinc salts LME proxy,3,11,430.0
acrylic-acid,Acrylic acid,,ambiguous,unclassified,,,,4,4,135.0
benzene-na,Piperidine proxy,benzene-na,resolved,unclassified,,,,2,2,60.0
caustic-soda-na,Caustic soda,caustic-soda-na,resolved,unclassified,,,,2,2,50.0
cpo,Glycerol/stearic proxy,cpo,resolved,unclassified,,,,3,3,70.0
crude-oil,Cylinder/logistics,,ambiguous,unclassified,,,,4,4,95.0
dap,Phosphorus (yellow),dap,resolved,unclassified,,,,6,6,225.0
elec-eu,Electricity,elec-eu,resolved,unclassified,,,,16,16,195.0
ethylene-oxide,Ethylene oxide,ethylene-propylene-na,resolved,unclassified,,,,5,5,120.0
glucose,Isosorbide/sorbitol proxy,corn,resolved,unclassified,,,,2,2,75.0
industrial-chemicals,Organic acid proxy,industrial-chemicals,resolved,unclassified,,,,10,12,325.0
natural-gas,Energy,,ambiguous,unclassified,,,,17,17,255.0
nickel,Cobalt metal proxy,nickel,resolved,unclassified,,,,1,1,40.0
pko,Surfactant base,pko,resolved,unclassified,,,,2,2,55.0
