table,column,rows,filled,fill_pct,declared_gap,source
index_feeds.csv,feed_key,132,132,100.0,,"derived: ""<feed_slug>|<region>"" — the unique key for this table"
index_feeds.csv,feed_slug,132,132,100.0,,INDEXES key
index_feeds.csv,region,132,102,77.3,the 30 stub rows have no card and therefore no region,"regKeys key, else INDEXES[slug].region"
index_feeds.csv,series_key,132,132,100.0,,INDEXES[slug].regKeys[region] — which price series this card reads
index_feeds.csv,shares_series_with,132,17,12.9,only the cards that share a series with another card,derived: other feed_slugs reading the same series (i.e. this card is a proxy view)
index_feeds.csv,name,132,102,77.3,stub rows have no card,.name (per-region override from ._regional when present)
index_feeds.csv,region_label,132,102,77.3,stub rows have no card and therefore no label,.regLabels[region]
index_feeds.csv,unit,132,21,15.9,"only the region labels that spell one out (e.g. ""$/mt"")","parsed out of .regLabels[region] — e.g. ""$/mt"". Fills CommodityIndex.unit for the feeds whose label states one; blank where the label does not."
index_feeds.csv,incoterm,132,11,8.3,"only the region labels naming an Incoterm (e.g. ""FOB US Gulf"")",parsed out of .regLabels[region] — fills CommodityIndex.quoted_incoterm
index_feeds.csv,named_place,132,11,8.3,travels with incoterm,parsed out of .regLabels[region] — fills CommodityIndex.quoted_named_place
index_feeds.csv,source_note,132,77,58.3,only labels with a trailing parenthetical,the parenthetical in .regLabels[region] — the publishing agency / series id
index_feeds.csv,category,132,102,77.3,stub rows have no card,.cat
index_feeds.csv,access,132,102,77.3,stub rows have no card,.access — Free | Proxy | Subscription
index_feeds.csv,frequency,132,102,77.3,stub rows have no card,.freq
index_feeds.csv,is_default_region,132,132,100.0,,.defaultRegs contains region
index_feeds.csv,agency,132,107,81.1,INDEX_SOURCE_META covers 80 of the series,INDEX_SOURCE_META[series_key].agency
index_feeds.csv,source_freq,132,107,81.1,INDEX_SOURCE_META covers 80 of the series,INDEX_SOURCE_META[series_key].freq
index_feeds.csv,sourcing_note,132,35,26.5,INDEX_SOURCE_META.proxy is null for non-proxy feeds by design,INDEX_SOURCE_META[series_key].proxy — only populated for proxy feeds
index_feeds.csv,used_in_formulas,132,102,77.3,stub rows have no card,.usedIn
index_feeds.csv,current_value,132,90,68.2,"stub rows, plus 5 cards the mockup left blank",".currentVal — INDEX LEVEL, base 100 = Jan 2023, not a currency price"
index_feeds.csv,change_pct,132,87,65.9,"stub rows, plus the cards with no intel block",.change
index_feeds.csv,volatility_pct,132,52,39.4,only the 38 feeds with the full intel block,.volPct — only on the 38 feeds with the full intel block
index_feeds.csv,cycle_pct,132,52,39.4,only the 38 feeds with the full intel block,.cyclePos.pct — same 38
index_feeds.csv,card_status,132,132,100.0,,"derived: full (rich intel block) | basic (card, no intel) | stub (no card at all — referenced by FCOVERED or FORE only)"
index_feeds.csv,has_intel_block,132,132,100.0,,derived: whether the mockup authored the rich card for this feed
index_feeds.csv,n_series_points,132,132,100.0,,derived from IDX
index_feeds.csv,n_forecast_points,132,132,100.0,,derived from FORE
index_series.csv,series_key,4548,4548,100.0,,IDX / FORE key
index_series.csv,year,4548,4548,100.0,,"derived from position (IDX starts Jan 2023, FORE starts Jul 2026)"
index_series.csv,month,4548,4548,100.0,,derived from position
index_series.csv,quarter,4548,4548,100.0,,derived from month
index_series.csv,value,4548,4548,100.0,,IDX[key][i] / FORE[key][i] — INDEX LEVEL (base 100 = Jan 2023)
index_series.csv,kind,4548,4548,100.0,,actual | forecast
index_series_quarterly.csv,series_key,1516,1516,100.0,,as above
index_series_quarterly.csv,year,1516,1516,100.0,,as above
index_series_quarterly.csv,quarter,1516,1516,100.0,,as above
index_series_quarterly.csv,value,1516,1516,100.0,,derived: mean of that quarter's monthly index levels
index_series_quarterly.csv,n_months,1516,1516,100.0,,derived
index_series_quarterly.csv,kind,1516,1516,100.0,,actual | forecast
index_values.csv,commodity_key,1274,1274,100.0,,index_commodities.commodity_key
index_values.csv,year,1274,1274,100.0,,derived
index_values.csv,quarter,1274,1274,100.0,,derived
index_values.csv,value,1274,1274,100.0,,derived: mean of that quarter's monthly index levels
index_values.csv,n_months,1274,1274,100.0,,derived: how many months went into the mean
index_values.csv,source,1274,1274,100.0,,constant: mockup
index_forecasts.csv,commodity_key,242,242,100.0,,index_commodities.commodity_key
index_forecasts.csv,year,242,242,100.0,,derived
index_forecasts.csv,quarter,242,242,100.0,,derived
index_forecasts.csv,value,242,242,100.0,,derived: mean of that quarter's monthly forecast levels
index_forecasts.csv,n_months,242,242,100.0,,derived
index_forecasts.csv,source,242,242,100.0,,constant: mockup-forecast
